,Time,Vertical Disp
3398,8.571225342,-0.01395328
3399,8.573746842,-0.013961372
3400,8.576268343,-0.013969552
3401,8.578789958,-0.013977542
3402,8.581311573,-0.013985238
3403,8.5838335,-0.01399247
3404,8.586355423,-0.013999227
3405,8.588878,-0.014005438
3406,8.591400577,-0.014011183
3407,8.593922885,-0.014016743
3408,8.596445192,-0.014022084
3409,8.598967962,-0.014027131
3410,8.601490731,-0.014031993
3411,8.604013698,-0.014036776
3412,8.606536659,-0.014041672
3413,8.609059505,-0.014046687
3414,8.611582352,-0.014051736
3415,8.614105308,-0.014056927
3416,8.616628269,-0.014062239
3417,8.619150923,-0.014067594
3418,8.621673578,-0.014073085
3419,8.624196687,-0.014078591
3420,8.626719802,-0.014083876
3421,8.629242687,-0.01408863
3422,8.631765572,-0.014092639
3423,8.634288299,-0.014096014
3424,8.63681103,-0.014098716
3425,8.639334106,-0.014100727
3426,8.641857183,-0.014101872
3427,8.644379458,-0.014102037
3428,8.646901727,-0.014101201
3429,8.649424189,-0.014099157
3430,8.65194665,-0.014095825
3431,8.654469155,-0.014091376
3432,8.656991656,-0.014086046
3433,8.65951377,-0.014079922
3434,8.662035885,-0.014073124
3435,8.664558034,-0.014065959
3436,8.667080189,-0.014058719
3437,8.669601842,-0.014051446
3438,8.672123497,-0.014044149
3439,8.674645487,-0.01403701
3440,8.677167488,-0.014030026
3441,8.679689718,-0.014023242
3442,8.682211949,-0.014017036
3443,8.684733982,-0.014011534
3444,8.687256021,-0.014006702
3445,8.689777751,-0.014002492
3446,8.692299482,-0.013998872
3447,8.694821285,-0.013995838
3448,8.697343092,-0.013993273
3449,8.699864862,-0.013991156
3450,8.702386631,-0.013989543
3451,8.704908713,-0.013988403
3452,8.70743079,-0.013987576
3453,8.709953059,-0.013986988
3454,8.712475328,-0.013986524
3455,8.714978171,-0.013985882
3456,8.717481002,-0.013984895
3457,8.719983833,-0.013983488
3458,8.722486664,-0.013981446
3459,8.724989495,-0.013978707
3460,8.727492326,-0.013975482
3461,8.729995157,-0.01397185
3462,8.732497988,-0.013967881
3463,8.735000819,-0.013963818
3464,8.73750365,-0.013959743
3465,8.740006481,-0.013955779
3466,8.742509312,-0.013952152
3467,8.745012143,-0.013948909
